domain_id,benchmark_commute_distance,direct_estimate,direct_ci_lower,direct_ci_upper,direct_ci_width,fh_estimate,fh_ci_lower,fh_ci_upper,fh_ci_width,spatial_fh_estimate,spatial_fh_ci_lower,spatial_fh_ci_upper,spatial_fh_ci_width
W02000083,7.094139846242967,27.348275883180026,-4.348586026256587,59.04513779261664,63.39372381887323,10.07842890658376,3.9934553202166043,15.887024112707447,11.893568792490843,8.110151550723668,3.677133939729398,13.352185120579579,9.675051180850181
W02000085,5.852786436223636,6.5188232265189505,4.098616537869231,8.939029915168671,4.84041337729944,6.791732731683316,4.501428560683944,9.037950594110022,4.536522033426078,6.661827187046879,4.286423588532626,8.921114951635008,4.634691363102382
W02000087,4.7341405516795865,5.808025833270986,0.45113983414143455,11.164911832400538,10.713771998259103,6.838003498597593,3.0558970858327665,10.93273349539853,7.8768364095657635,6.0287279168558685,2.2477611180371913,9.452070778723042,7.204309660685851
W02000088,5.585909096130774,3.4877211783905375,1.3845876609466194,5.590854695834455,4.206267034887835,4.079165311956716,2.055031798405011,6.27809026784348,4.2230584694384685,4.137658632645666,1.920411810231517,5.918811255506031,3.998399445274514
W02000089,5.194614352326686,4.9602250077666605,1.6437676039402431,8.276682411593079,6.632914807652836,5.941504402042478,3.3292016564581086,8.83121469868869,5.5020130422305815,5.295917688878387,2.374401512033357,8.530002463506591,6.155600951473234
W02000090,8.86976643137255,14.55481580705637,1.2407243904181282,27.868907223694613,26.628182833276483,10.410149779629954,4.751416142614641,14.771243884120224,10.019827741505583,8.806948694440337,3.9052396612282827,14.14605569787835,10.240816036650067
W02000091,6.692000171670703,7.434374168877778,3.8690379309079552,10.9997104068476,7.130672475939644,8.045323522978965,4.974707274427548,11.092557531936936,6.117850257509389,7.769556005252039,5.012539848932105,10.722138025179664,5.7095981762475585
W02000092,7.543218721886618,7.764523916874226,1.7546192616367433,13.77442857211171,12.019809310474965,8.873265950172659,4.747658718014337,13.626394282300035,8.878735564285698,7.854047296262228,3.7679957122821897,11.803382112855719,8.035386400573529
W02000093,8.017561388916377,16.019706066449064,7.75510426767878,24.284307865219347,16.529203597540565,11.415519564739423,7.084821881928669,16.549869733648247,9.465047851719579,10.044375530823256,5.983765756586733,14.448589107099393,8.46482335051266
W02000094,8.676340860618634,29.93022850715362,-7.379379132219416,67.23983614652666,74.61921527874607,9.661576123572363,4.019848390500822,14.606029275091865,10.586180884591043,8.385583560621203,3.278283048417064,13.330198619956596,10.051915571539531
